Date,Open,High,Low,Close,Volume
06/21/2024,"365.90","366.75","359.30","360.60","867,544"
06/20/2024,"358.50","368.30","358.05","364.45","1,929,644"
06/19/2024,"363.55","366.00","357.00","358.25","873,964"
06/18/2024,"358.05","364.90","357.40","363.10","2,865,948"
06/14/2024,"362.00","362.80","356.10","357.05","1,570,554"
06/13/2024,"365.00","366.45","358.30","360.80","1,122,769"
06/12/2024,"352.40","363.50","351.50","360.90","2,794,862"
06/11/2024,"351.45","354.25","349.50","350.25","1,441,026"
06/10/2024,"356.75","357.40","349.00","350.35","1,935,844"
06/07/2024,"350.00","355.20","347.05","353.15","1,313,564"
06/06/2024,"351.90","352.80","348.10","349.35","975,334"
06/05/2024,"338.10","347.90","327.15","345.00","1,923,867"
06/04/2024,"359.95","359.95","307.05","332.80","10,946,540"
06/03/2024,"364.00","367.30","354.00","356.10","3,690,322"
05/31/2024,"354.95","358.00","342.20","344.40","3,472,671"
05/30/2024,"347.45","351.55","346.60","347.80","1,509,292"
05/29/2024,"354.75","356.00","348.30","349.40","2,063,713"
05/28/2024,"361.00","363.70","355.30","356.85","1,516,808"
05/27/2024,"368.45","368.75","359.50","360.10","956,482"
05/24/2024,"368.05","370.80","364.40","365.35","2,157,782"
05/23/2024,"357.90","376.00","357.50","367.85","1,808,204"
05/22/2024,"358.90","360.70","355.20","357.50","1,489,388"
05/21/2024,"362.20","362.20","355.60","357.75","1,687,852"
05/17/2024,"356.80","358.00","355.30","357.15","476,222"
05/16/2024,"356.75","358.95","352.30","354.90","1,642,946"
05/15/2024,"354.35","358.60","351.45","353.85","2,020,857"
05/14/2024,"343.45","353.75","342.25","352.50","2,613,040"
05/13/2024,"348.00","348.05","335.05","341.40","3,187,697"
05/10/2024,"346.00","349.00","337.10","348.00","3,605,675"
05/09/2024,"357.00","359.30","344.10","345.40","3,296,425"
05/08/2024,"355.50","363.60","352.30","355.25","2,572,828"
05/07/2024,"370.50","370.50","353.70","356.30","4,269,411"
05/06/2024,"378.55","379.00","367.75","370.35","2,231,020"
05/03/2024,"380.15","385.75","374.10","375.95","2,567,930"
05/02/2024,"377.40","381.30","372.50","379.65","2,502,116"
04/30/2024,"381.70","383.85","375.50","377.40","952,853"
04/29/2024,"383.95","384.80","378.00","380.40","1,826,157"
04/26/2024,"384.80","384.90","380.50","381.75","1,604,657"
04/25/2024,"382.55","387.00","380.50","382.30","1,904,904"
04/24/2024,"390.50","391.80","379.35","381.90","3,130,931"
04/23/2024,"387.85","394.70","385.15","387.95","3,992,632"
04/22/2024,"377.80","385.00","375.50","382.75","2,598,500"
04/19/2024,"378.90","378.90","368.80","370.00","2,419,477"
04/18/2024,"369.85","384.35","367.65","378.20","8,017,202"
04/16/2024,"365.00","371.75","359.90","361.85","4,948,026"
04/15/2024,"362.50","363.00","351.00","354.40","6,631,029"
04/12/2024,"370.45","378.70","368.25","372.35","1,861,368"
04/10/2024,"370.95","372.35","367.65","370.30","953,033"
04/09/2024,"371.10","374.70","365.50","367.65","2,585,520"
04/08/2024,"376.30","378.70","367.60","369.25","1,747,113"
04/05/2024,"361.45","374.80","359.35","373.05","5,849,814"
04/04/2024,"359.50","367.95","358.00","361.35","3,973,914"
04/03/2024,"356.50","359.75","353.15","357.15","2,289,362"
04/02/2024,"359.15","362.75","356.00","357.15","1,318,637"
04/01/2024,"357.00","364.15","355.55","356.85","2,935,390"
03/28/2024,"354.95","357.50","350.50","353.80","1,090,347"
03/27/2024,"348.00","355.50","347.50","350.45","3,635,037"
03/26/2024,"346.25","352.40","343.60","346.30","1,287,785"
03/22/2024,"338.20","346.20","337.10","344.55","2,487,048"
03/21/2024,"344.50","348.00","337.40","338.80","2,987,405"
03/20/2024,"352.15","356.40","335.65","337.55","5,469,027"
03/19/2024,"353.90","357.85","346.75","353.30","3,795,780"
03/18/2024,"347.00","359.80","342.60","352.55","2,762,056"
03/15/2024,"341.00","348.75","336.65","344.70","5,416,930"
03/14/2024,"328.10","341.60","317.70","338.45","7,401,825"
03/13/2024,"365.10","367.20","324.50","328.20","5,123,831"
03/12/2024,"359.85","374.50","358.55","361.75","10,904,450"
03/11/2024,"337.00","359.90","332.50","355.75","6,678,572"
03/07/2024,"329.35","337.20","324.25","333.85","3,826,915"
03/06/2024,"322.80","333.95","321.50","326.35","3,091,495"
03/05/2024,"324.35","327.95","319.55","321.60","2,116,032"
03/04/2024,"330.80","331.50","320.55","322.60","1,733,073"
03/01/2024,"315.00","321.40","311.70","317.85","3,379,095"
02/29/2024,"312.20","321.95","308.10","310.20","5,219,187"
02/28/2024,"324.80","324.80","306.05","308.35","2,629,620"
02/27/2024,"329.95","338.75","316.80","318.40","3,266,798"
02/26/2024,"340.60","348.00","325.70","327.75","6,676,863"
02/23/2024,"306.00","347.00","305.70","333.90","24,274,170"
02/22/2024,"291.95","305.25","291.00","303.05","3,876,432"
02/21/2024,"284.40","294.70","283.45","289.95","3,101,612"
02/20/2024,"274.90","289.50","273.65","281.60","2,953,668"
02/19/2024,"273.95","277.05","270.00","273.90","1,743,412"
02/16/2024,"275.60","276.85","271.00","271.95","1,042,607"
02/15/2024,"275.00","278.95","272.90","274.00","2,424,200"
02/14/2024,"270.35","275.00","268.35","273.10","1,433,934"
02/13/2024,"271.30","275.35","263.75","272.70","1,593,918"
02/12/2024,"276.65","281.00","267.70","271.00","2,549,878"
02/09/2024,"264.50","276.10","258.50","272.85","4,760,404"
02/08/2024,"270.00","270.45","261.80","262.85","3,265,700"
02/07/2024,"273.30","275.50","267.50","268.55","4,017,679"
02/06/2024,"286.95","286.95","268.20","271.15","5,006,072"
02/05/2024,"256.00","295.70","255.55","289.05","10,727,780"
02/02/2024,"252.95","257.35","250.70","253.75","1,457,029"
02/01/2024,"251.80","254.50","249.20","252.30","3,513,897"
01/31/2024,"247.95","250.50","246.15","248.30","1,809,412"
01/30/2024,"253.50","253.90","247.00","247.80","2,499,384"
01/29/2024,"240.40","254.35","240.00","251.00","4,269,953"
01/25/2024,"240.65","242.65","239.00","239.90","1,988,335"
01/24/2024,"240.35","241.45","237.05","239.65","2,347,651"
01/23/2024,"246.60","248.10","240.00","240.40","2,435,082"
01/19/2024,"246.25","249.00","245.45","246.30","2,752,985"
01/18/2024,"243.55","247.90","239.05","243.30","3,094,015"
01/17/2024,"247.50","247.50","242.20","242.60","5,633,445"
01/16/2024,"250.10","257.95","246.50","248.90","9,543,648"
01/15/2024,"258.00","269.60","257.25","266.80","7,786,413"
01/12/2024,"255.00","259.20","253.70","255.20","2,437,313"
01/11/2024,"243.00","253.50","241.10","251.50","2,176,228"
01/10/2024,"241.00","242.45","239.50","240.35","2,189,963"
01/09/2024,"243.15","244.65","241.40","242.15","1,378,586"
01/08/2024,"247.00","247.00","240.30","242.50","2,269,360"
01/05/2024,"244.65","248.20","241.50","243.65","1,599,104"
01/04/2024,"238.90","243.25","236.80","241.35","1,743,993"
01/03/2024,"235.25","235.95","233.50","234.45","595,136"
01/02/2024,"235.00","236.00","231.95","235.30","1,251,557"
01/01/2024,"233.70","236.25","233.15","234.60","1,154,491"
12/29/2023,"234.00","235.15","231.20","233.05","1,292,768"
12/28/2023,"235.00","236.35","232.60","233.35","1,371,414"
12/27/2023,"235.25","237.25","233.05","234.00","531,366"
12/26/2023,"236.80","238.00","233.70","234.60","1,286,027"
12/22/2023,"239.00","239.75","234.70","236.75","576,446"
12/21/2023,"230.00","238.60","228.85","237.95","2,208,528"
12/20/2023,"239.00","248.00","230.05","232.10","6,956,351"
12/19/2023,"240.60","240.90","238.00","238.40","697,792"
12/18/2023,"239.80","242.00","237.65","240.05","1,899,100"
12/15/2023,"240.00","242.60","236.80","237.75","2,060,830"
12/14/2023,"242.35","243.80","238.20","238.70","791,891"
12/13/2023,"242.00","242.60","235.40","239.70","1,699,607"
12/12/2023,"246.80","247.30","238.40","240.65","882,792"
12/11/2023,"245.05","246.90","243.00","245.50","1,410,311"
12/08/2023,"249.00","250.50","240.00","244.35","1,280,453"
12/07/2023,"248.70","250.60","245.00","249.10","1,432,937"
12/06/2023,"245.55","251.50","243.00","246.85","3,363,561"
12/05/2023,"230.20","245.95","229.35","242.45","7,910,728"
12/04/2023,"229.50","231.95","227.80","230.10","4,311,293"
12/01/2023,"231.05","231.50","225.05","225.55","2,218,585"
11/30/2023,"226.05","231.85","222.60","229.50","2,503,612"
11/29/2023,"229.40","229.40","224.35","226.05","744,485"
11/28/2023,"228.05","232.10","223.00","226.25","3,576,944"
11/24/2023,"221.70","227.55","220.50","226.70","3,679,603"
11/23/2023,"222.05","223.00","219.80","221.30","514,536"
11/22/2023,"219.55","223.30","218.50","221.50","2,232,822"
11/21/2023,"217.25","223.15","216.60","220.25","2,480,789"
11/20/2023,"221.25","221.80","215.10","215.60","2,400,808"
