Date,Open,High,Low,Close,Volume
06/21/2024,"26.94","27.88","26.93","27.28","178,812"
06/20/2024,"27.28","27.46","26.85","26.92","57,611"
06/18/2024,"27.66","27.73","27.17","27.33","77,619"
06/17/2024,"27.88","28.19","27.52","27.54","77,830"
06/14/2024,"28.60","29.10","28.01","28.12","102,933"
06/13/2024,"28.92","29.52","28.43","29.13","166,568"
06/12/2024,"28.94","29.55","28.70","29.00","232,422"
06/11/2024,"28.20","28.25","27.85","27.91","80,763"
06/10/2024,"28.01","28.49","27.77","28.40","123,547"
06/07/2024,"28.44","28.74","28.33","28.34","102,927"
06/06/2024,"28.38","29.08","28.38","28.81","101,226"
06/05/2024,"28.02","28.80","27.79","28.63","274,554"
06/04/2024,"27.24","28.43","27.00","27.94","338,440"
06/03/2024,"27.22","27.22","26.27","26.44","144,470"
05/31/2024,"26.68","27.31","26.55","26.89","567,143"
05/30/2024,"26.26","26.75","26.22","26.62","79,463"
05/29/2024,"26.32","26.70","26.21","26.21","138,198"
05/28/2024,"26.89","27.19","26.59","26.63","68,262"
05/24/2024,"26.53","26.81","26.37","26.72","95,702"
05/23/2024,"26.40","26.64","26.26","26.48","88,066"
05/22/2024,"26.23","26.59","26.14","26.40","75,319"
05/21/2024,"26.53","26.62","26.23","26.56","64,268"
05/20/2024,"27.06","27.19","26.55","26.56","54,537"
05/17/2024,"26.80","27.50","26.64","27.07","138,357"
05/16/2024,"26.56","26.70","26.25","26.69","97,756"
05/15/2024,"26.80","26.80","26.19","26.44","154,630"
05/14/2024,"26.91","27.24","26.29","26.54","100,811"
05/13/2024,"26.20","26.72","26.13","26.54","167,160"
05/10/2024,"26.30","26.30","25.78","26.02","166,481"
05/09/2024,"25.73","26.41","25.53","26.31","100,255"
05/08/2024,"25.44","25.89","25.44","25.55","417,913"
05/07/2024,"25.80","26.12","25.48","25.56","99,623"
05/06/2024,"26.31","26.31","25.54","25.74","92,746"
05/03/2024,"26.13","26.56","25.49","26.00","127,945"
05/02/2024,"27.00","28.18","25.17","25.65","245,343"
05/01/2024,"25.66","26.00","25.42","25.81","59,042"
04/30/2024,"25.82","26.12","25.50","25.58","135,849"
04/29/2024,"25.05","26.16","25.05","26.10","84,087"
04/26/2024,"24.70","25.06","24.63","24.92","155,416"
04/25/2024,"24.90","24.94","24.55","24.71","59,965"
04/24/2024,"25.06","25.62","24.90","25.42","116,310"
04/23/2024,"24.75","25.49","24.75","25.18","87,583"
04/22/2024,"24.28","25.04","24.07","24.93","117,960"
04/19/2024,"23.49","24.29","23.49","24.00","89,946"
04/18/2024,"23.35","23.69","23.20","23.57","87,293"
04/17/2024,"23.85","23.99","23.31","23.32","65,290"
04/16/2024,"23.97","23.97","23.63","23.74","61,361"
04/15/2024,"24.44","24.90","23.98","24.07","73,650"
04/12/2024,"24.51","24.66","24.19","24.24","49,089"
04/11/2024,"24.40","24.71","24.25","24.69","80,855"
04/10/2024,"24.68","24.73","23.90","24.19","96,568"
04/09/2024,"25.50","25.57","25.11","25.26","62,897"
04/08/2024,"25.20","25.66","25.04","25.50","70,531"
04/05/2024,"24.85","25.15","24.66","24.99","64,548"
04/04/2024,"25.98","26.05","24.92","24.99","92,762"
04/03/2024,"25.44","25.90","25.42","25.76","58,981"
04/02/2024,"26.25","26.46","25.55","25.58","80,347"
04/01/2024,"27.04","27.04","26.36","26.52","94,983"
03/28/2024,"27.02","27.29","26.88","27.04","77,171"
03/27/2024,"26.56","27.26","26.56","27.01","98,295"
03/26/2024,"26.89","27.11","26.49","26.56","94,685"
03/25/2024,"26.33","26.69","26.32","26.59","92,794"
03/22/2024,"26.62","26.62","26.14","26.35","100,814"
03/21/2024,"26.90","27.06","26.71","26.80","130,806"
03/20/2024,"25.98","26.59","25.78","26.58","163,653"
03/19/2024,"25.45","26.01","25.45","25.98","72,883"
03/18/2024,"25.52","25.57","25.15","25.45","67,657"
03/15/2024,"25.13","25.83","25.13","25.58","185,463"
03/14/2024,"25.90","26.19","24.86","25.37","89,607"
03/13/2024,"26.06","26.50","25.87","26.14","101,462"
03/12/2024,"26.56","26.56","26.01","26.35","93,037"
03/11/2024,"25.67","26.11","25.58","25.98","56,437"
03/08/2024,"25.80","26.35","25.58","25.90","108,009"
03/07/2024,"25.41","25.70","25.12","25.66","104,546"
03/06/2024,"24.60","25.44","24.60","25.29","79,975"
03/05/2024,"24.55","24.83","24.29","24.50","72,745"
03/04/2024,"24.55","25.20","24.49","24.81","70,448"
03/01/2024,"24.75","24.77","24.10","24.41","102,500"
02/29/2024,"25.07","25.23","24.75","24.82","80,404"
02/28/2024,"25.00","25.36","24.62","24.64","92,215"
02/27/2024,"25.42","25.71","25.05","25.08","82,125"
02/26/2024,"26.32","26.45","25.07","25.26","118,998"
02/23/2024,"25.57","26.81","25.57","26.40","167,589"
02/22/2024,"25.65","27.47","24.90","25.58","183,962"
02/21/2024,"25.15","25.42","24.82","25.08","75,874"
02/20/2024,"25.19","25.63","24.84","25.18","72,142"
02/16/2024,"25.10","25.69","25.03","25.66","68,888"
02/15/2024,"25.08","25.59","24.83","25.40","93,771"
